name,class,subclass,description,hp,hp_backed,hp_cooked,effect_cooked,duration_bonus_cooked,selling_price,food_recipe
Acorn,Material,Ingredient,"Often found on the ground near trees. Squirrels adore this nut, so you may have competition while foraging. Add one to a meal for a nutty seasoning.",0.25,0.5,1,,"First 0:50, 0:30",2,"Sautéed Nuts, Roasted Acorn, Nutcake"
Amber,Material,Ore,A fossilized resin with a caramelesque sheen to it. It's been valued as a component in decorations and crafting since ancient times.,,,,,,30,
Apple,Material,Fruit,"A common fruit found on trees all around Hyrule. Eat it fresh, or cook it to increase its effect.",0.5,0.75,1,,0:30,3,"Energizing Honeyed Apple, Hot Buttered Apple, Baked Apple, Apple Pie, Fruitcake, Fruit and Mushroom Mix, Simmered Fruit, Copious Simmered Fruit"
Armoranth,Material,Plant,"This tough medicinal plant cannot be broken, but it can be cooked. Its durable yet flexible fibers raise your defense when cooked into a dish.",,0.5,,Tough,0:50,5,Roasted Armoranth
Armored Carp,Material,Seafood,"Calcium deposits in the scales of this ancient fish make them as hard as armor. Cooking it into a dish will fortify your bones, temporarily increasing your defense.",1,1.5,2,Tough,0:50,10,"Frozen Carp, Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Armored Porgy,Material,Seafood,"This porgy's body is covered in armor-hard scales. The compounds in its scales, when cooked into a dish, fortify your bones and temporarily boost your defense.",1,1.5,2,Tough,0:50,10,"Roasted Porgy, Porgy Meunière, Seafood Curry, Seafood Fried Rice, Seafood Paella, Fish Skewer, Salt-Grilled Fish, Monster Stew"
Big Hearty Radish,Material,Vegetable,"This hearty radish has grown much larger than the average radish. It's rich in analeptic compounds that, when cooked into a dish, temporarily increase your maximum hearts.",4,6,30,Hearty,,15,"Roasted Big Radish, Creamy Heart Soup"
Big Hearty Truffle,Material,Shroom,"Years of going unpicked have allowed this hearty truffle to grow quite large. It's chock-full of nutrients. When cooked into a dish, it temporarily increases your maximum hearts.",3,4.5,30,Hearty,,15,"Toasted Big Hearty Truffle, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Bird Egg,Material,Ingredient,"A fresh bird egg necessary for making dishes such as omelets and crepes. You can snag them from birds' nests if you're sneaky. Nutritious and delicious, perfect.",1,1.5,2,,0:30,3,"Omelet, Hard-Boiled Egg, Campfire Egg, Crab Omelet with Rice, Curry Pilaf, Egg Pudding, Egg Tart, Fried Egg and Rice, Gourmet Poultry Pilaf, Honey Crepe, Plain Crepe, Poultry Pilaf, Prime Poultry Pilaf, Vegetable Omelet, Wildberry Crepe, Mushroom Omelet"
Bladed Rhino Beetle,Material,Critter,This beetle's razor-sharp horns demand that you handle it with care. Boil the horns alongside monster parts to concoct an elixir that will raise your attack power.,,,,Mighty,0:50,4,"Mighty Elixir, Dubious Food"
